atg t,atg p,atg invalid,atg positive,atg,msd t,msd p,msd invalid,msd positive,msd,double_neg
40.8,273,0,0,18.33,27.76,273,0,0,8.69,0
40.8,274,0,0,18.86,27.76,274,0,0,8.2,0
40.8,275,0,0,17.75,27.76,275,0,0,8.18,0
40.8,276,0,0,18,27.76,276,0,0,7.88,0
40.8,277,0,0,19.13,27.76,277,0,0,7.88,0
40.8,278,0,0,18.6,27.76,278,0,0,8.43,0
40.8,279,0,0,18.55,27.76,279,0,0,8.07,0
40.8,280,0,0,17.74,27.76,280,0,0,8.02,0
40.8,281,0,0,18.19,27.76,281,0,0,7.91,0
40.8,282,0,0,18.69,27.76,282,0,0,8.27,0
40.8,283,0,0,18.98,27.76,283,0,0,7.72,0
40.8,284,0,0,17.94,27.76,284,0,0,7.68,0
40.8,285,0,0,19.3,27.76,285,0,0,7.88,0
40.8,286,0,0,18.57,27.76,286,0,0,8.22,0
40.8,287,0,0,18.96,27.76,287,0,0,7.95,0
40.8,288,0,0,18.54,27.76,288,0,0,7.72,0
40.8,289,0,0,19.57,27.76,289,0,0,8.04,0
40.8,290,0,0,19.07,27.76,290,0,0,7.98,0
40.8,291,0,0,19.77,27.76,291,0,0,7.77,0
40.8,292,0,0,18.96,27.76,292,0,0,7.81,0
40.8,293,0,0,19.16,27.76,293,0,0,8.3,0
40.8,294,0,0,19.36,27.76,294,0,0,8.18,0
40.8,295,0,0,18.7,27.76,295,0,0,7.87,0
40.8,296,0,0,18.79,27.76,296,0,0,8.41,0
40.8,297,0,0,19.44,27.76,297,0,0,8.39,0
40.8,298,0,0,19.21,27.76,298,0,0,8.09,0
40.8,299,0,0,19.58,27.76,299,0,0,7.83,0
40.8,300,0,0,18.84,27.76,300,0,0,7.94,0
40.8,301,0,0,19.71,27.76,301,0,0,7.44,0
40.8,302,0,0,19.35,27.76,302,0,0,7.81,0
40.8,303,0,0,19.1,27.76,303,0,0,7.86,0
40.8,304,0,0,19.56,27.76,304,0,0,7.89,0
40.8,305,0,0,19.37,27.76,305,0,0,7.48,0
40.8,306,0,0,19.02,27.76,306,0,0,7.93,0
40.8,307,0,0,19.74,27.76,307,0,0,7.8,0
