"atg.t","atg.p","atg.invalid","atg.positive","atg","msd.t","msd.p","msd.invalid","msd.positive","msd","double_neg"
40.8,25210,0,0,21.1,27.76,25210,0,0,9.06,0
40.8,25462,0,0,21.4,27.76,25462,0,0,8.27,0
40.8,24962,0,0,19.96,27.76,24962,0,0,6.91,0
40.8,12283,0,0,20.64,27.76,12283,0,0,8.43,0
40.8,7652,0,0,20.48,27.76,7652,0,0,7.73,0
40.8,13901,0,0,20.6,27.76,13901,0,0,8.17,0
40.8,21622,0,0,20.97,27.76,21622,0,0,9.09,0
40.8,19601,0,0,21.12,27.76,19601,0,0,8.55,0
40.8,1759,0,0,18.87,27.76,1759,0,0,7.91,0
40.8,14285,0,0,21.14,27.76,14285,0,0,8.72,0
40.8,11440,0,0,19.43,27.76,11440,0,0,8.27,0
40.8,10273,0,0,19.97,27.76,10273,0,0,6.52,0
40.8,25698,0,0,20.94,27.76,25698,0,0,9.32,0
40.8,11810,0,0,20.87,27.76,11810,0,0,8.14,0
40.8,15883,0,0,21.97,27.76,15883,0,0,8.24,0
40.8,4235,0,0,20.94,27.76,4235,0,0,7.84,0
40.8,11981,0,0,20.46,27.76,11981,0,0,8.11,0
40.8,25313,0,0,20.09,27.76,25313,0,0,8.77,0
40.8,25724,0,0,22.03,27.76,25724,0,0,9.1,0
40.8,13679,0,0,21.39,27.76,13679,0,0,8.44,0
40.8,25151,0,0,21.15,27.76,25151,0,0,8.92,0
40.8,1583,0,0,19.45,27.76,1583,0,0,6.47,0
40.8,6808,0,0,18.69,27.76,6808,0,0,8.26,0
40.8,17557,0,0,21.13,27.76,17557,0,0,8.72,0
40.8,6188,0,0,18.57,27.76,6188,0,0,8.06,0
40.8,7585,0,0,18.89,27.76,7585,0,0,6.61,0
40.8,10259,0,0,20.1,27.76,10259,0,0,8.14,0
40.8,12370,0,0,20.9,27.76,12370,0,0,8.47,0
40.8,21160,0,0,20.39,27.76,21160,0,0,7.57,0
40.8,15052,0,0,22.05,27.76,15052,0,0,8.38,0
40.8,11494,0,0,21.07,27.76,11494,0,0,8.25,0
40.8,10762,0,0,21.44,27.76,10762,0,0,8.04,0
40.8,19484,0,0,22.04,27.76,19484,0,0,8.49,0
40.8,18182,0,0,19.85,27.76,18182,0,0,6.48,0
40.8,12301,0,0,20.08,27.76,12301,0,0,8.86,0
40.8,2427,0,0,18.45,27.76,2427,0,0,6.55,0
40.8,6896,0,0,20.43,27.76,6896,0,0,7.97,0
40.8,16373,0,0,20.56,27.76,16373,0,0,8.15,0
